
BloombergExchangeCode	BloombergCompositeCode	Country	Description	ISOMIC	Google Prefix	EODcode	NumStocks
PK	PA	Pakistan	Karachi Stock Exchange (Guarantee) Limited	XKAR	KAR	KAR	41
PE		Peru	Bolsa De Valores De Lima	XLIM			24
PM		Philippines	Philippine Stock Exchange Inc.	XPHS	PSE	PSE	70
PW		Poland	Warsaw Stock Exchange/Equities/Main Market	XWAR	WSE	WAR	65
PL		Portugal	Nyse Euronext - Euronext Lisbon	XLIS	ELI	LS	19
QD		Qatar	Qatar Exchange	DSMD			35
RE	RO	Romania	Spot Regulated Market - Bvb	XBSE			8
RX	RM	Russia	Standard-Classica-Forts	MISX	MCX	MCX	66
AB		Saudi Arabia	Saudi Stock Exchange	XSAU		SR	130
BC		Senegal		XBRV			1
SP		Singapore	Singapore Exchange	XSES	SGX	SG	243
SV		Slovenia	Ljubljana Stock Exchange (Official Market)	XLJU			3
SJ		South Africa	Johannesburg Stock Exchange	XJSE	JNB	JSE	170
KP	KS	South Korea	Korea Exchange (Stock Market)	XKRX	KRX	KO	422
KQ	KS	South Korea	Korea Exchange (Kosdaq)	XKOS	KOSDAQ	KQ	270
SM		Spain	Bolsa De Madrid	XMAD	BME	MC	125
SL		Sri Lanka	Colombo Stock Exchange	XCOL			4
NG		Sweden	Nordic Growth Market	XNGM			1
SS		Sweden	Nasdaq Omx Nordic	XSTO	STO	ST	337
SE	SW	Switzerland	Six Swiss Exchange	XSWX	SWX	SW	127
VX	SW	Switzerland	Six Swiss - Blue Chips Segment	XVTX	VTX	VX	31
SY		Syria	Damascus Securities Exchange	XDSE			1
TG		Taiwan	Tapei Exchange	ROCO		TWO	22
TT		Taiwan	Taiwan Stock Exchange	XTAI	TPE	TW	567
TB		Thailand	Stock Exchange Of Thailand	XBKK	BAK	BK	375
MT		The Netherlands	TOM MTF	TOMX			1
NA		The Netherlands	Nyse Euronext - Euronext Amsterdam	XAMS	AMS	AS	83
TI		Turkey	Istanbul Stock Exchange	XIST	IST	IS	92
DB	UH	United Arab Emirates	Dubai Financial Market	XDFM	DFM		18
DH	UH	United Arab Emirates	Nasdaq Dubai	DIFX			7
DU	UH	United Arab Emirates	Abu Dhabi Securities Exchange	XADS			16
EB		United Kingdom	BATS Trading Europe	BATE			2
IX		United Kingdom	Chi-X Eruope	CHIX			2
LI		United Kingdom	London Stock Exchange International		LON	IL	39
LN		United Kingdom	London Stock Exchange	XLON	LON	LSE	585
PO		United Kingdom	ITG Posit	XPOS			1
TQ		United Kingdom	Turquoise	TRQX			3
XB		United Kingdom	Cinnober BOAT	BOAT			1
UA	US	USA	NYSE American	XASE	NYSEAMERICAN	US	273
UF	US	USA	CBOE BATS BZX	BATS	BATS	US	1
UN	US	USA	New York Stock Exchange	XNYS	NYSE	US	3,239
UP	US	USA	NYSE Arca	ARCX	NYSEARCA	US	3
UQ	US	USA	NASDAQ Global Market	XNMS	NASDAQ	US	682
UR	US	USA	NASDAQ Capital Market	XNCM	NASDAQ	US	2,209
UV	US	USA	OTC markets	OOTC	OTCMKTS	US	2,433
UW	US	USA	NASDAQ Global Select	XNGS	NASDAQ	US	1,768
VH	VN	Vietnam	Hanoi Stock Exchange	HSTC			4
VM	VN	Vietnam	Hochiminh Stock Exchange	XSTC		VN	40
