ADAG	Adagene	Biotechnology	715.09M
ADAP	Adaptimmune Therapeutics	Biotechnology	975.55M
ADBE	Adobe	Software	313.92B
ADC	Agree Realty	Equity Real Estate Investment Trusts...	4.84B
ADCT	ADC Therapeutics SA	Communications Equipment	2.10B
ADER	26 Capital Acquisition	Shell Companies	333.95M
ADES	Advanced Emissions Solutions	Chemicals	121.42M
ADEX	Adit EdTech Acquisition	Shell Companies	135.66M
ADF	Aldel Financial	Shell Companies	131.28M
ADGI	Adagio Therapeutics	Biotechnology	5.85B
ADI	Analog Devices	Semiconductors & Semiconductor Equipment	91.33B
ADIL	Adial Pharmaceuticals	Pharmaceuticals	84.66M
ADM	Archer Daniels Midland	Food Products	33.50B
ADMA	ADMA Biologics	Biotechnology	158.00M
ADMP	Adamis Pharmaceuticals	Pharmaceuticals	159.31M
ADMS	Adamas Pharmaceuticals	Biotechnology	207.46M
ADN	Advent Technologies	Utilities-Renewable	380.81M
ADNT	Adient	Auto Components	3.47B
ADOC	Edoc Acquisition	Shell Companies	119.46M
ADP	Automatic Data Processing	IT Services	84.97B
ADPT	Adaptive Biotechnologies	Life Sciences Tools & Services	5.36B
ADRA	Adara Acquisition	n/a	111.67M
ADS	Alliance Data Systems	IT Services	4.63B
ADSK	Autodesk	Software	62.53B
ADT	ADT Inc.	Commercial Services & Supplies	6.74B
ADTN	ADTRAN, Inc.	Communications Equipment	951.81M
ADTX	Aditx Therapeutics	Biotechnology	35.24M
ADUS	Addus HomeCare	Health Care Providers & Services	1.38B
ADV	Advantage Solutions	Advertising Agencies	2.67B
ADVM	Adverum Biotechnologies	Biotechnology	219.80M
ADXN	Addex Therapeutics	Biotechnology	56.95M
ADXS	Advaxis	Biotechnology	87.38M
AE	Adams Resources & Energy	Oil, Gas & Consumable Fuels	126.66M
AEAC	Authentic Equity Acquisition	Shell Companies	289.80M
AEE	Ameren	Multi-Utilities	22.37B
AEG	Aegon	Insurance	9.89B
AEHL	Antelope Enterprise Holdings	Building Products & Equipment	18.43M
AEHR	Aehr Test Systems	Semiconductors & Semiconductor Equipment	244.34M
AEI	Alset Ehome International	Real Estate-Development	100.77M
AEIS	Advanced Energy Industries	Semiconductors & Semiconductor Equipment	3.34B
AEL	American Equity Investment Life	Insurance	2.77B
AEM	Agnico Eagle Mines	Metals & Mining	13.46B
AEMD	Aethlon Medical	Health Care Equipment & Supplies	55.54M
AENZ	Aenza	Engineering & Construction	287.03M
AEO	American Eagle Outfitters	Specialty Retail	4.56B
AEP	American Electric Power	Electric Utilities	44.44B
AER	AerCap Holdings	Trading Companies & Distributors	7.04B
AERI	Aerie Pharmaceuticals	Pharmaceuticals	785.49M
AES	AES Corporation	Independent Power and Renewable Elect...	15.84B
AESE	Allied Esports Entertainment	Hotels, Restaurants & Leisure	72.02M
AEVA	Aeva Technologies	Auto Parts	2.11B
AEY	ADDvantage Technologies Group	Electronic Equipment, Instruments & C...	30.53M
AEYE	AudioEye	Software	132.18M
AEZS	AEterna Zentaris	Biotechnology	86.19M
AFAQ	AF Acquisition	Shell Companies	241.50M
AFBI	Affinity Bancshares	Banks	102.40M
AFCG	AFC Gamma	REIT-Specialty	344.49M
AFG	American Financial Group	Insurance	11.16B
AFI	Armstrong Flooring	Building Products	65.71M
AFIB	Acutus Medical	Medical Devices	314.62M
AFIN	American Finance Trust	Equity Real Estate Investment Trusts...	977.91M
AFL	Aflac	Insurance	36.66B
AFMD	Affimed N.V.	Biotechnology	775.86M
AFRM	Affirm Holdings	IT Services	33.32B
AFYA	Afya	Diversified Consumer Services	2.05B
AG	First Majestic Silver	Metals & Mining	3.97B
AGAC	African Gold Acquisition	Shell Companies	500.42M
AGBA	AGBA Acquisition	Shell Companies	57.76M
AGC	Altimeter Growth Corp.	Shell Companies	671.88M
AGCB	Altimeter Growth 2	Shell Companies	579.24M
AGCO	AGCO Corporation	Machinery	9.65B
AGE	AgeX Therapeutics	Biotechnology	37.84M
AGEN	Agenus	Biotechnology	1.52B
AGFS	AgroFresh Solutions	Chemicals	104.29M
AGFY	Agrify	Machinery	425.35M
AGGR	Agile Growth	Shell Companies	374.71M
AGI	Alamos Gold	Metals & Mining	3.70B
AGIL	AgileThought	Software-Application	36.36M
AGIO	Agios Pharmaceuticals	Biotechnology	2.66B
AGL	Agilon Health	Medical Care Facilities	12.41B
AGLE	Aeglea Biotherapeutics	Biotechnology	334.13M
AGM	Federal Agricultural Mortgage	Thrifts & Mortgage Finance	1.06B
AGM.A	Federal Agricultural Mortgage	Credit Services	1.06B
AGMH	AGM Group Holdings	Capital Markets	181.74M
AGNC	AGNC Investment	Mortgage Real Estate Investment Trus...	8.40B
AGO	Assured Guaranty	Insurance	3.42B
AGR	Avangrid	Electric Utilities	20.23B
AGRI	AgriFORCE Growing Systems	Farm Products	36.89M
AGRO	Adecoagro	Food Products	1.08B
AGRX	Agile Therapeutics	Pharmaceuticals	108.81M
AGS	PlayAGS	Hotels, Restaurants & Leisure	269.57M
AGTC	Applied Genetic Technologies	Biotechnology	142.80M
AGTI	Agiliti	Health Information Services	2.61B
AGX	Argan	Construction & Engineering	734.54M
AGYS	Agilysys	Software	1.25B
AHCO	AdaptHealth	Health Care Providers & Services	3.11B
AHH	Armada Hoffler Properties	Equity Real Estate Investment Trusts...	1.06B
AHPI	Allied Healthcare Products	Health Care Equipment & Supplies	30.70M
AHT	Ashford Hospitality Trust	Equity Real Estate Investment Trusts...	400.68M
AI	C3.ai	Software	5.21B
AIG	American International Group	Insurance	46.56B
AIH	Aesthetic Medical International	Health Care Providers & Services	94.63M
AIHS	Senmiao Technology	Consumer Finance	33.63M
AIKI	AIkido Pharma	Biotechnology	69.41M
AIM	AIM ImmunoTech	Biotechnology	95.70M
AIMC	Altra Industrial Motion	Machinery	3.64B
AIN	Albany International	Machinery	2.50B
AINC	Ashford	Capital Markets	45.10M
AINV	Apollo Investment	Capital Markets	889.50M
AIR	AAR Corp.	Aerospace & Defense	1.14B
AIRC	Apartment Income REIT	Equity Real Estate Investment Trusts...	7.93B
AIRG	Airgain	Electronic Equipment, Instruments & C...	137.56M
AIRI	Air Industries Group	Aerospace & Defense	36.57M
AIRT	Air T	Air Freight & Logistics	111.77M
AIT	Applied Industrial Technologies	Trading Companies & Distributors	3.31B
AIV	Aimco	Equity Real Estate Investment Trusts...	1.03B
AIZ	Assurant	Insurance	9.88B
AJG	Arthur J. Gallagher	Insurance	29.79B
AJRD	Aerojet Rocketdyne	Aerospace & Defense	3.40B
AJX	Great Ajax	Mortgage Real Estate Investment Trus...	315.67M
AKAM	Akamai Technologies	IT Services	18.23B
AKBA	Akebia Therapeutics	Biotechnology	502.67M
AKIC	Sports Ventures Acquisition	Shell Companies	285.87M
AKO.A	Embotelladora Andina	Beverages-Non-Alcoholic	1.90B
AKO.B	Embotelladora Andina	Beverages-Non-Alcoholic	2.07B
AKR	Acadia Realty Trust	Equity Real Estate Investment Trusts...	1.77B
AKRO	Akero Therapeutics	Biotechnology	872.59M
AKTS	Akoustis Technologies	Electronic Equipment, Instruments & C...	522.34M
AKTX	Akari Therapeutics	Pharmaceuticals	86.15M
AKU	Akumin	Diagnostics & Research	218.12M
AKUS	Akouos	Biotechnology	439.62M
AKYA	Akoya Biosciences	Medical Instruments & Supplies	530.99M
AL	Air Lease Corporation	Trading Companies & Distributors	4.39B
ALAC	Alberton Acquisition	Shell Companies	50.89M
ALB	Albemarle	Chemicals	28.47B
ALBO	Albireo Pharma	Biotechnology	576.13M
ALC	Alcon	Medical Instruments & Supplies	41.23B
ALCC	AltC Acquisition	Shell Companies	553.50M
ALCO	Alico, Inc.	Food Products	269.36M
ALDX	Aldeyra Therapeutics	Biotechnology	509.20M
ALE	ALLETE, Inc.	Electric Utilities	3.34B
ALEC	Alector	Biotechnology	1.84B
ALEX	Alexander & Baldwin	Equity Real Estate Investment Trusts...	1.60B
ALF	ALFI	Software-Infrastructure	132.63M
ALG	Alamo Group	Machinery	1.75B
ALGM	Allegro MicroSystems	Semiconductors & Semiconductor Equipment	5.83B
ALGN	Align Technology	Health Care Equipment & Supplies	57.03B
ALGS	Aligos Therapeutics	Biotechnology	648.51M
ALGT	Allegiant Travel	Airlines	3.39B
ALHC	Alignment Healthcare	Health Care Providers & Services	3.51B
ALIM	Alimera Sciences	Pharmaceuticals	38.57M
ALIT	Alight	Software-Application	5.94B
ALJJ	ALJ Regional Holdings	IT Services	51.63M
ALK	Alaska Air Group	Airlines	7.02B
ALKS	Alkermes	Biotechnology	4.92B
ALKT	Alkami Technology	Software-Application	2.45B
ALL	Allstate	Insurance	38.90B
ALLE	Allegion	Building Products	12.97B
ALLK	Allakos	Biotechnology	5.69B
ALLO	Allogene Therapeutics	Biotechnology	3.52B
ALLT	Allot Ltd.	Software	541.55M
ALLY	Ally Financial	Consumer Finance	18.40B
ALNA	Allena Pharmaceuticals	Biotechnology	82.54M
ALNY	Alnylam Pharmaceuticals	Biotechnology	22.53B
ALOT	AstroNova	Technology Hardware, Storage & Periph...	110.02M
ALPN	Alpine Immune Sciences	Biotechnology	215.95M
ALRM	Alarm.com	Software	3.97B
ALRN	Aileron Therapeutics	Biotechnology	115.00M
ALRS	Alerus Financial	Diversified Financial Services	479.27M
ALSN	Allison Transmission Holdings	Machinery	3.81B
ALT	Altimmune	Biotechnology	667.46M
ALTA	Altabancorp	Personal Products	757.20M
ALTG	Alta Equipment Group	Trading Companies & Distributors	415.87M
ALTM	Altus Midstream	Oil, Gas & Consumable Fuels	1.04B
ALTO	Alto Ingredients	Oil, Gas & Consumable Fuels	333.46M
ALTR	Altair Engineering	Software	5.58B
ALTU	Altitude Acquisition	Shell Companies	369.38M
ALV	Autoliv	Auto Components	7.55B
ALVR	AlloVir	Biotechnology	1.41B
ALX	Alexander's	Equity Real Estate Investment Trusts...	1.30B
ALXO	ALX Oncology Holdings	Biotechnology	3.13B
ALYA	Alithya Group	IT Services	220.51M
ALZN	Alzamend Neuro	Biotechnology	242.68M
AM	Antero Midstream	Oil, Gas & Consumable Fuels	4.80B
AMAL	Amalgamated Bank	Banks	457.11M
AMAM	Ambrx Biopharma	Biotechnology	648.29M
AMAO	American Acquisition Opportunity	Shell Companies	125.87M
AMAT	Applied Materials	Semiconductors & Semiconductor Equipment	123.56B
AMBA	Ambarella	Semiconductors & Semiconductor Equipment	5.44B
AMBC	Ambac Financial Group	Insurance	623.93M
AMBO	Ambow Education Holding	Diversified Consumer Services	35.92M
AMBP	Ardagh MP USA	Packaging & Containers	6.32B
AMC	AMC Entertainment	Entertainment	25.75B
AMCR	Amcor	Containers & Packaging	18.92B
AMCX	AMC Networks	Media	1.94B
AMD	Advanced Micro Devices	Semiconductors & Semiconductor Equipment	127.60B
AME	AMETEK, Inc.	Electrical Equipment	30.16B
AMED	Amedisys	Health Care Providers & Services	5.88B
AMEH	Apollo Medical Holdings	Health Care Providers & Services	4.22B
AMG	Affiliated Managers Group	Capital Markets	6.61B
AMGN	Amgen	Biotechnology	121.38B
AMH	American Homes 4 Rent	Equity Real Estate Investment Trusts...	13.11B
AMHC	Amplitude Healthcare Acquisition	Shell Companies	124.75M
AMK	AssetMark Financial	Capital Markets	1.89B
AMKR	Amkor Technology	Semiconductors & Semiconductor Equipment	6.79B
AMN	AMN Healthcare Services	Health Care Providers & Services	5.38B
AMNB	American National Bankshares	Banks	344.43M
AMOT	Allied Motion Technologies	Electrical Equipment	467.22M
AMOV	America Movil	Wireless Telecommunication Services	61.90B
AMP	Ameriprise Financial	Capital Markets	30.34B
AMPE	Ampio Pharmaceuticals	Pharmaceuticals	300.69M
AMPG	AmpliTech Group	Communication Equipment	33.54M
AMPH	Amphastar Pharmaceuticals	Pharmaceuticals	856.41M
AMPI	Advanced Merger Partners	Shell Companies	347.16M
AMPY	Amplify Energy	Oil & Gas E&P	137.53M
AMR	Alpha Metallurgical Resources	Oil, Gas & Consumable Fuels	984.60M
AMRC	Ameresco	Construction & Engineering	3.58B
AMRK	A-Mark Precious Metals	Diversified Financial Services	649.13M
AMRN	Amarin	Biotechnology	2.10B
AMRS	Amyris	Chemicals	4.03B
AMRX	Amneal Pharmaceuticals	Pharmaceuticals	764.30M
AMS	American Shared Hospital Services	Health Care Providers & Services	16.43M
AMSC	American Superconductor	Electrical Equipment	386.68M
AMSF	AMERISAFE, Inc.	Insurance	1.09B
AMST	Amesite	Software-Application	44.39M
AMSWA	American Software	Software	820.56M
AMT	American Tower	Equity Real Estate Investment Trusts...	133.76B
AMTB	Amerant Bancorp	Banks	932.60M
AMTBB	Amerant Bancorp	Banks	932.60M
AMTI	Applied Molecular Transport	Biotechnology	1.07B
AMTX	Aemetis	Oil, Gas & Consumable Fuels	418.30M
AMWD	American Woodmark	Building Products	1.09B
AMWL	Amwell	Health Information Services	2.62B
AMX	America Movil	Wireless Telecommunication Services	62.37B
AMYT	Amryt Pharma	Drug Manufacturers-Specialty & Generic	685.45M
AMZN	Amazon	Internet & Direct Marketing Retail	1,756.92B
AN	AutoNation	Specialty Retail	7.48B
ANAB	AnaptysBio	Biotechnology	708.06M
ANAC	Arctos NorthStar Acquisition	Biotechnology	68.18M
ANAT	American National Insurance	Insurance	5.12B
ANDE	Andersons	Food & Staples Retailing	983.84M
ANEB	Anebulo Pharmaceuticals	Biotechnology	160.47M
ANET	Arista Networks	Communications Equipment	26.92B
ANF	Abercrombie & Fitch	Specialty Retail	2.09B
ANGI	ANGI Homeservices	Interactive Media & Services	5.30B
ANGN	Angion Biomedica	Biotechnology	318.25M
ANGO	AngioDynamics	Health Care Equipment & Supplies	1.04B
ANIK	Anika Therapeutics	Biotechnology	571.15M
ANIP	ANI Pharmaceuticals	Pharmaceuticals	350.20M
ANIX	Anixa Biosciences	Biotechnology	149.75M
ANNX	Annexon Biosciences	Biotechnology	722.56M
ANPC	AnPac Bio-Medical Science	Biotechnology	50.81M
ANSS	ANSYS, Inc.	Software	32.60B
ANTE	AirNet Technology	Media	48.40M
ANTM	Anthem	Health Care Providers & Services	87.17B
ANVS	Annovis Bio	Biotechnology	285.79M
ANY	Sphere 3D	Software	385.20M
ANZU	Anzu Special Acquisition I	Shell Companies	516.72M
AOMR	Angel Oak Mortgage	REIT-Mortgage	462.37M
AON	Aon plc	Insurance	65.99B
AOS	A. O. Smith	Building Products	11.16B
AOSL	Alpha & Omega Semiconductor	Semiconductors & Semiconductor Equipment	755.81M
AOUT	American Outdoor Brands	Leisure Products	365.18M
AP	Ampco-Pittsburgh	Metals & Mining	86.69M
APA	Apache	Oil, Gas & Consumable Fuels	7.07B
APAM	Artisan Partners Asset Management	Capital Markets	3.97B
APD	Air Products & Chemicals	Chemicals	59.33B
APDN	Applied DNA Sciences	Electronic Equipment, Instruments & C...	43.49M
APEI	American Public Education	Diversified Consumer Services	490.16M
APEN	Apollo Endosurgery	Health Care Equipment & Supplies	285.02M
APG	APi Group	Construction & Engineering	4.42B
APGB	Apollo Strategic Growth Capital II	Shell Companies	837.92M
APH	Amphenol	Electronic Equipment, Instruments & C...	45.08B
API	Agora	Electronic Equipment, Instruments & C...	3.62B
APLE	Apple Hospitality REIT	Equity Real Estate Investment Trusts...	3.31B
APLS	Apellis Pharmaceuticals	Biotechnology	3.04B
APLT	Applied Therapeutics	Biotechnology	387.43M
APM	Aptorum Group	Biotechnology	92.92M
APO	Apollo Global Management	Capital Markets	26.29B
APOG	Apogee Enterprises	Building Products	1.04B
APOP	Cellect Biotechnology	Life Sciences Tools & Services	24.90M
APP	Applovin	Software-Application	28.81B
APPF	AppFolio	Software	4.23B
APPH	AppHarvest	Farm Products	753.13M
APPN	Appian Corporation	Software	7.15B
APPS	Digital Turbine	Software	5.95B
APR	Apria	Medical Instruments & Supplies	1.34B
APRE	Aprea Therapeutics	Biotechnology	97.25M
APRN	Blue Apron	Internet & Direct Marketing Retail	92.05M
APSG	Apollo Strategic Growth Capital	Shell Companies	995.48M
APT	Alpha Pro Tech	Building Products	104.81M
APTO	Aptose Biosciences	Biotechnology	257.06M
APTS	Preferred Apartment Communities	Equity Real Estate Investment Trusts...	616.43M
APTV	Aptiv	Auto Components	39.61B
APTX	Aptinyx	Biotechnology	165.23M
APVO	Aptevo Therapeutics	Biotechnology	83.83M
APWC	Asia Pacific Wire & Cable	Electrical Equipment	45.19M
APYX	Apyx Medical	Health Care Equipment & Supplies	366.91M
AQB	AquaBounty Technologies	Biotechnology	309.67M
AQMS	Aqua Metals	Commercial Services & Supplies	147.94M
AQN	Algonquin Power & Utilities	Multi-Utilities	9.52B
AQST	Aquestive Therapeutics	Pharmaceuticals	172.27M
AQUA	Evoqua Water Technologies	Machinery	4.56B
AR	Antero Resources	Oil, Gas & Consumable Fuels	5.00B
ARAV	Aravive	Biotechnology	82.23M
ARAY	Accuray	Health Care Equipment & Supplies	332.43M
ARBG	Aequi Acquisition	Shell Companies	279.32M
ARC	ARC Document Solutions	Commercial Services & Supplies	116.04M
ARCB	ArcBest	Road & Rail	1.73B
ARCC	Ares Capital	Capital Markets	9.30B
ARCE	Arco Platform	Diversified Consumer Services	1.37B
ARCH	Arch Coal	Oil, Gas & Consumable Fuels	1.30B
ARCO	Arcos Dorados Holdings	Hotels, Restaurants & Leisure	1.12B
ARCT	Arcturus Therapeutics	Biotechnology	1.40B
ARD	Ardagh Group SA	Containers & Packaging	5.95B
ARDS	Aridis Pharmaceuticals	Biotechnology	58.02M
ARDX	Ardelyx	Biotechnology	140.24M
ARE	Alexandria Real Estate Equities	Equity Real Estate Investment Trusts...	30.43B
AREC	American Resources	Oil, Gas & Consumable Fuels	138.15M
ARES	Ares Management	Capital Markets	12.90B
ARGO	Argo Group International	Insurance	1.74B
ARGX	Argenx SE	Biotechnology	16.96B
ARI	Apollo Commercial Real Estate Finance	Mortgage Real Estate Investment Trus...	2.07B
ARKO	ARKO	Grocery Stores	1.24B
ARKR	Ark Restaurants	Hotels, Restaurants & Leisure	55.83M
ARL	American Realty Investors	Real Estate Management & Development	172.34M
ARLO	Arlo Technologies	Electronic Equipment, Instruments & C...	524.32M
ARLP	Alliance Resource Partners	Oil, Gas & Consumable Fuels	1.19B
ARMK	Aramark	Hotels, Restaurants & Leisure	8.33B
ARMP	Armata Pharmaceuticals	Biotechnology	97.76M
ARNA	Arena Pharmaceuticals	Biotechnology	3.63B
ARNC	Arconic	Aerospace & Defense	3.77B
AROC	Archrock	Energy Equipment & Services	1.13B
AROW	Arrow Financial	Banks	546.39M
ARQQ	Arqit Quantum	Shell Companies	360.09M
ARQT	Arcutis Biotherapeutics	Biotechnology	1.06B
ARR	ARMOUR Residential REIT	Mortgage Real Estate Investment Trus...	904.94M
ARRW	Arrowroot Acquisition	Shell Companies	347.16M
ARRY	Array Technologies	Solar	2.36B
ARTA	Artisan Acquisition	Shell Companies	379.08M
ARTL	Artelo Biosciences	Pharmaceuticals	21.80M
ARTNA	Artesian Resources	Water Utilities	349.74M
ARTW	Art's-Way Manufacturing	Machinery	15.31M
ARVL	Arrival	Auto Manufacturers	7.74B
ARVN	Arvinas	Pharmaceuticals	4.78B
ARW	Arrow Electronics	Electronic Equipment, Instruments & C...	8.24B
ARWR	Arrowhead Pharmaceuticals	Biotechnology	6.67B
ARYD	ARYA Sciences Acquisition IV	Shell Companies	195.48M
ARYE	Arya Sciences Acquisition V	Shell Companies	164.43M
ASA	ASA Gold And Precious Metals	Capital Markets	394.48M
ASAI	Sendas Distribuidora	Food & Staples Retailing	9.40B
ASAN	Asana	Software	17.95B
ASAQ	Atlantic Street Acquisition	Shell Companies	305.31M
ASAX	Astrea Acquisition	Shell Companies	216.85M
ASB	Associated Banc-Corp	Banks	3.17B
ASC	Ardmore Shipping	Oil, Gas & Consumable Fuels	120.96M
ASGN	ASGN Incorporated	Professional Services	5.93B
ASH	Ashland	Chemicals	5.62B
ASIX	AdvanSix	Chemicals	1.06B
ASLE	AerSale	Airports & Air Services	558.77M
ASLN	ASLAN Pharmaceuticals	Biotechnology	215.81M
ASM	Avino Silver & Gold Mines	Metals & Mining	96.07M
ASMB	Assembly Biosciences	Biotechnology	145.26M
ASML	ASML Holding	Semiconductors & Semiconductor Equipment	357.82B
ASND	Ascendis Pharma A/S	Biotechnology	8.77B
ASO	Academy Sports and Outdoors	Specialty Retail	4.28B
ASPC	Alpha Capital Acquisition	Shell Companies	278.88M
ASPN	Aspen Aerogels	Energy Equipment & Services	1.41B
ASPS	Altisource Portfolio Solutions	Real Estate Management & Development	177.89M
ASPU	Aspen Group	Diversified Consumer Services	136.73M
ASR	Grupo Aeroportuario del Sureste	Transportation Infrastructure	5.51B
ASRT	Assertio Therapeutics	Pharmaceuticals	43.89M
ASRV	AmeriServ Financial	Banks	63.69M
ASTC	Astrotech	Aerospace & Defense	52.95M
ASTE	Astec Industries	Machinery	1.29B
ASTR	Astra Space	Aerospace & Defense	2.49B
ASTS	AST SpaceMobile	Telecom Services	603.69M
ASUR	Asure Software	Software	161.40M
ASX	ASE Technology	Semiconductors & Semiconductor Equipment	19.92B
ASXC	Asensus Surgical	Medical Devices	480.36M
ASYS	Amtech Systems	Semiconductors & Semiconductor Equipment	164.34M
ASZ	Austerlitz Acquisition II	Shell Companies	1.92B
ATA	Americas Technology Acquisition	Shell Companies	145.00M
ATAI	ATAI Life Sciences	Biotechnology	2.55B
ATAQ	Altimar Acquisition III	Shell Companies	189.50M
ATAX	America First Multifamily Investors	Thrifts & Mortgage Finance	400.30M
ATC	Atotech	Electronic Components	4.67B
ATCO	Atlas Corp.	Marine	3.90B
ATCX	Atlas Technical Consultants	Engineering & Construction	325.75M
ATEC	Alphatec Holdings	Health Care Equipment & Supplies	1.41B
ATEN	A10 Networks	Software	1.05B
ATER	Aterian	Consumer Electronics	455.20M
ATEX	Anterix	Diversified Telecommunication Services	1.10B
ATGE	Adtalem Global Education	Diversified Consumer Services	1.86B
ATH	Athene Holding	Insurance	13.05B
ATHA	Athira Pharma	Biotechnology	411.37M
ATHE	Alterity Therapeutics	Biotechnology	54.95M
ATHM	Autohome	Interactive Media & Services	5.67B
ATHN	Athena Technology Acquisition	Health Care Technology	5.56B
ATHX	Athersys	Biotechnology	350.70M
ATI	Allegheny Technologies	Metals & Mining	2.20B
ATIF	ATIF Holdings	Professional Services	41.96M
ATIP	ATI Physical Therapy	Medical Care Facilities	776.74M
ATKR	Atkore International Group	Electrical Equipment	4.03B
ATLC	Atlanticus Holdings	Consumer Finance	895.69M
ATLO	Ames National	Banks	210.37M
ATMR	Altimar Acquisition II	Shell Companies	424.78M
ATNF	180 Life Sciences	Biotechnology	187.40M
ATNI	ATN International	Diversified Telecommunication Services	737.68M
ATNM	Actinium Pharmaceuticals	Biotechnology	128.41M
ATNX	Athenex	Biotechnology	365.09M
ATO	Atmos Energy	Gas Utilities	12.18B
ATOM	Atomera	Semiconductors & Semiconductor Equipment	566.31M
ATOS	Atossa Therapeutics	Health Care Equipment & Supplies	502.69M
ATR	AptarGroup	Containers & Packaging	8.30B
